DESCRIÇÃO;COD;PN;FABRIC.;LOCAL;CADASTRO LOCAL;COD LOCAL;status:
CLAMP-PCU LOCKING, SPOILER;030-204-00097;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
CHAVE DE PARAFUSO DE ASA 9/16'';030-204-00098;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE  ASA 5/8'';030-204-00099;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE ASA 9/16;030-204-00100;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
KIT LAVAGEM DO COMPRESSOR MOTOR  PT6 & PT6A ;030-204-001001;K-1152;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
SACA PINO 3/16;030-204-001003;942902WF;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
CABO DE RETENÇÃO ESCADA AIRSTAIR;030-204-001005;1159GSE50349-1;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
SACA PINO ;030-204-001006;SOD1.3416;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
CHAVE ESPECAL L;030-204-001007;110.6710.01.W26H;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
ADAPTADOR ROSCA DUPLO;030-204-001008;SOD.3279;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
BLOCO QUADRADO 1/2 X 4;030-204-001009;HSS M2;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
CHAVE DE PARAFUSO DE ASA 3/4'' ;030-204-00101;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
GEAR STOP;030-204-001010;SMT-65;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
RODA DUPLA MINI;030-204-001012;SOD1.3389;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
CHAVE DE PARAFUSO DE ASA 7/8'' ;030-204-00102;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE ASA 3/4'' ;030-204-00103;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE ASA 3/4'' ;030-204-00104;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE ASA 3/4'' ;030-204-00105;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE BOCA 1-1/2;030-204-00106;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE DE BOCA 32 MM;030-204-00107;;;FERRAMENTARIA;Q4 PRETO;Q4;
"CHAVE DE BOCA 1""3/8";030-204-00108;;;FERRAMENTARIA;Q4 PRETO;Q4;
FERRAMENTA DE BLOQUEIO VANEC/ 2 PEÇAS 1/2;030-204-00111;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
FERRAMENTA DE BLOQUEIO VANEC/ 2 PEÇAS 2/2;030-204-00112;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE PARAFUSO DE ASA;030-204-00113;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
T-LIGHT COMPARATOR;030-204-00114;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE SACA FILTRO COM CORREIA;030-204-00115;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
FUEL FLOW TEST SET;030-204-00116;12845-205-001;;FERRAMENTARIA;ESTANTE 3;PRAT 2;
"ADAPTADOR 1""";030-204-00117;;;FERRAMENTARIA;Q4 PRETO;Q4;
SACA POLIA;030-204-00118;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
EXTRATOR PINO CÔNICO GEARBOX;030-204-00119;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
REMOÇÃO/INSTALAÇÃO DO PARAFUSO DO TOOL WING;030-204-00120;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE RODA GOLFSTREAM;030-204-001127;;;FERRAMENTARIA;ESTANTE 2;PRAT 3;
CHAVE PARA BANCADA HIDRAULICA 3EA;030-204-001128;;;FERRAMENTARIA;ESTANTE 2;PRAT 3;
CHAE PARAFUSO DE ASA;030-204-00121;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE ASA;030-204-00122;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE ASA;030-204-00123;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAE DE APOIO PARA ASA;030-204-00124;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE ASA;030-204-00125;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
SOQUETE RODA DE TBM;030-204-00126;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
TALHADEIRA;030-204-00127;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
TALHADEIRA;030-204-00128;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
PINO DE CENTRO;030-204-00129;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
"ALICATE GRAMPO MULTI USO 4"" 1/4";030-204-00130;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
"ALICATE GRAMPO MULTI USO 3"" 2/4";030-204-00131;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
